"nomeDepto","siglaDepto"
"DEPARTAMENTO DE ANALISES CLINICAS","DEACL"
"DEPARTAMENTO DE ALIMENTOS","DEALI"
"DEPARTAMENTO DE ENGENHARIA AMBIENTAL                        ","DEAMB"
"DEPARTAMENTO DE ARQUITETURA E URBANISMO","DEARQ"
"DEPARTAMENTO DE ARTES","DEART"
"DEPARTAMENTO DE BIODIVERSIDADE, EVOLUCAO E MEIO AMBIENTE","DEBIO"
"DEPARTAMENTO DE CIENCIAS ADMINISTRATIVAS","DECAD"
"DEPARTAMENTO DE ENGENHARIA DE CONTROLE E AUTOMACAO E TECNICAS FUNDAMENTAIS","DECAT"
"DEPARTAMENTO DE CIENCIAS BIOLOGICAS","DECBI"
"DEPARTAMENTO DE CIENCIAS EXATAS E APLICADAS -J.MONLEVADE","DECEA"
"DEPARTAMENTO DE CIRURGIA, GINECOLOGIA E OBSTETRICIA","DECGP"
"DEPARTAMENTO DE ENGENHARIA CIVIL","DECIV"
"DEPARTAMENTO DE COMPUTACAO","DECOM"
"DEPARTAMENTO DE CLINICAS PEDIATRICAS E DO ADULTO","DECPA"
"DEPARTAMENTO DE COMPUTACAO E SISTEMAS","DECSI"
"DEPARTAMENTO DE CIENCIAS SOCIAIS","DECSO"
"DEPARTAMENTO DE DIREITO","DEDIR"
"DEPARTAMENTO DE ENSINO A DISTANCIA","DEEAD"
"DEPARTAMENTO DE CIENCIAS ECONOMICAS","DEECO"
"DEPARTAMENTO DE EDUCACAO","DEEDU"
"DEPARTAMENTO DE EDUCACAO FISICA","DEEFD"
"DEPARTAMENTO DE ENGENHARIA ELETRICA","DEELT"
"DEPARTAMENTO DE EDUCACAO MATEMATICA","DEEMA"
"DEPARTAMENTO DE ENGENHARIA DE PRODUCAO - ICEA","DEENP"
"DEPARTAMENTO DE ESTATISTICA","DEEST"
"DEPARTAMENTO DE EDUCACAO E TECNOLOGIAS","DEETE"
"DEPARTAMENTO DE FARMACIA","DEFAR"
"DEPARTAMENTO DE FILOSOFIA","DEFIL"
"DEPARTAMENTO DE FISICA","DEFIS"
"DEPARTAMENTO DE GEOLOGIA","DEGEO"
"DEPARTAMENTO DE GESTAO PUBLICA","DEGEP"
"DEPARTAMENTO DE HISTORIA","DEHIS"
"DEPARTAMENTO DE JORNALISMO","DEJOR"
"DEPARTAMENTO DE LETRAS","DELET"
"DEPARTAMENTO DE MATEMATICA","DEMAT"
"DEPARTAMENTO DE ENGENHARIA MECANICA","DEMEC"
"DEPARTAMENTO DE ENGENHARIA METALURGICA E DE MATERIAIS","DEMET"
"DEPARTAMENTO DE ALOCACAO DE MIF","DEMIF"
"DEPARTAMENTO DE ENGENHARIA DE MINAS","DEMIN"
"DEPARTAMENTO DE MEDICINA DE FAMILIA, SAUDE MENTAL E COLETIVA","DEMSC"
"DEPARTAMENTO DE MUSEOLOGIA","DEMUL"
"DEPARTAMENTO DE MUSICA                                      ","DEMUS"
"DEPARTAMENTO DE NUTRICAO CLINICA E SOCIAL","DENCS"
"DEPARTAMENTO DE ENGENHARIA DE PRODUCAO","DEPRO"
"DEPARTAMENTO DE QUIMICA","DEQUI"
"DEPARTAMENTO DE SERVICO SOCIAL","DESSO"
"DEPARTAMENTO DE TURISMO","DETUR"